Referencia;Cantidad con signo;Entradas;Salidas;Cantidad Abonada;Precio;Importe;Existencia;Precio medio;Valor del inventario oficial;Escalón de precio;Codigo Cliente;Codigo Factura;Codigo Pedido;Fecha Pedido;Hora Pedido;Fecha Factura;Serie Factura;Codigo Presupuesto;Codigo Comercial;Empresa Emisora;Pedido Web;Referencia Proveedor;Referencia Fabricante;Codigo Tarifa;Nombre Tarifa;Su Num Pedido
PH 9210;-1;0;1;0;171.2100;171.2100;210;111.4773;23410.2330;3;57160;04-M/22-00034;01/04-M/22-00038;25-01-2022;9:45:36;25-01-2022;18;;527;4;No;1PE-C001401-00G;FRIGATE 1000VA/800W;8;NPVM;PED2021A1870C
PH 9220;-1;0;1;0;240.8100;240.8100;148;156.7958;23205.7784;3;57160;04-M/22-00034;01/04-M/22-00038;25-01-2022;9:45:36;25-01-2022;18;;527;4;No;1PE-C001402-00G;FRIGATE 2K;8;NPVM;PED2021A1870C
PH 9230;-1;0;1;0;359.1700;359.1700;142;215.8607;30652.2194;3;57160;04-M/22-00034;01/04-M/22-00038;25-01-2022;9:45:36;25-01-2022;18;;527;4;No;1PE-C001403-00G;;8;NPVM;PED2021A1870C
PHC 2109;-1;0;1;0;56.4200;56.4200;14;42.3329;592.6606;3;57160;04-M/22-00034;01/04-M/22-00038;25-01-2022;9:45:36;25-01-2022;18;;527;4;No;FORM SH-9U;;8;NPVM;PED2021A1870C
PH 7266;-4;0;4;0;27.4000;109.6000;817;19.5009;15932.2353;3;57160;04-M/22-00034;01/04-M/22-00038;25-01-2022;9:45:36;25-01-2022;18;;527;4;No;1PE-C001023-00G-CITY600;;8;NPVM;PED2021A1870C
LB 5612;-4;0;4;0;7.3700;29.4800;4;5.3516;21.4064;3;57160;04-M/22-00034;01/04-M/22-00038;25-01-2022;9:45:36;25-01-2022;18;;527;4;No;AK-1001-B;;8;NPVM;PED2021A1870C
PH 9408;-4;0;4;0;33.3000;133.2000;318;23.7051;7538.2218;3;57160;04-M/22-00034;01/04-M/22-00038;25-01-2022;9:45:36;25-01-2022;18;;527;4;No;P8B(APEX 800);APEX 800;8;NPVM;PED2021A1870C
PH 9360;-1;0;1;0;1029.2700;1029.2700;4;618.5923;2474.3692;3;57160;04-M/22-00027;01/04-M/22-00029;17-01-2022;17:29:58;18-01-2022;18;;527;4;No;GALLEON ONE 6K RACK;;8;NPVM;PED2022A1013
PH 9260;-1;0;1;0;945.2200;945.2200;27;572.8160;15466.0320;3;57160;04-M/22-00008;01/04-M/22-00008;10-01-2022;9:40:30;10-01-2022;18;;527;4;No;P6T - WINNER PRO+ 6K;;8;NPVM;PED2021A28078
PH 9230;-1;0;1;0;359.1700;359.1700;147;215.8607;31731.5229;3;57160;04-M/22-00007;01/04-M/22-00007;10-01-2022;9:38:29;10-01-2022;18;;527;4;No;1PE-C001403-00G;;8;NPVM;PED2022A406
PH 9330;-2;0;2;0;429.5000;859.0000;33;329.1067;10860.5211;3;57160;04-M/21-00977;01/04-M/21-01096;22-12-2021;13:08:39;22-12-2021;18;;527;4;No;GALLEON RM-3K RACK;;8;NPVM;
9;-1;0;1;0;0.0000;0.0000;0;0.0000;0.0000;1;57160;04-M/21-00966;01/04-M/21-01074;15-12-2021;9:31:08;17-12-2021;18;;527;4;No;;;8;NPVM;PED2021A1653C
YUA 107;-20;0;20;0;12.5200;250.4000;217;10.4101;2258.9917;3;57160;04-M/21-00966;01/04-M/21-01074;15-12-2021;9:31:08;17-12-2021;18;;527;4;No;NP7-12L;;8;NPVM;PED2021A1653C
PH 9420;-4;0;4;0;87.5700;350.2800;29;60.5928;1757.1912;3;57160;04-M/21-00966;01/04-M/21-01074;15-12-2021;9:31:08;17-12-2021;18;;527;4;No;P2B-APEX;VESTA 2000 LCD;8;NPVM;PED2021A1653C
PH 7521;-2;0;2;0;167.5500;335.1000;60;115.2448;6914.6880;3;57160;04-M/21-00966;01/04-M/21-01074;15-12-2021;9:31:08;17-12-2021;18;;527;4;No;1PE-C001018-00G;;8;NPVM;PED2021A1653C
