Serie, ejercicio y nº factura;Fecha;Base general;Beneficio;Total factura
02-N/09-07396;2009-07-28;949.10;0.00;1089.95
02-N/09-07275;2009-07-24;571.06;0.00;655.81
02-N/09-07100;2009-07-20;82.30;0.00;94.52
02-N/09-07009;2009-07-16;249.99;0.00;287.09
02-N/09-06801;2009-07-10;131.40;0.00;150.90
02-N/09-06530;2009-07-03;639.61;0.00;734.52
02-N/09-06519;2009-07-03;98.08;0.00;112.64
02-N/09-06427;2009-07-01;288.80;0.00;331.66
02-N/09-05949;2009-06-17;230.36;0.00;264.55
02-N/09-05897;2009-06-16;353.14;0.00;405.55
02-N/09-05577;2009-06-05;62.05;0.00;71.26
02-N/09-05400;2009-06-02;378.80;0.00;435.01
02-N/09-05156;2009-05-26;289.40;0.00;332.35
02-N/09-05152;2009-05-26;179.90;0.00;206.60
02-N/09-04715;2009-05-14;372.00;0.00;427.20
02-N/09-04641;2009-05-13;119.20;0.00;136.89
02-N/09-04569;2009-05-11;40.85;0.00;46.91
02-N/09-04353;2009-05-05;156.46;0.00;179.68
02-N/09-04303;2009-05-04;126.90;0.00;145.73
02-N/09-04239;2009-04-30;77.50;0.00;89.01
02-N/09-03989;2009-04-23;463.45;0.00;532.23
02-N/09-03745;2009-04-16;356.80;0.00;409.75
02-N/09-03632;2009-04-14;72.50;0.00;83.26
02-N/09-03511;2009-04-08;126.44;0.00;145.21
02-N/09-03480;2009-04-07;202.60;0.00;232.66
02-N/09-03378;2009-04-02;546.05;0.00;627.08
02-N/09-03357;2009-04-02;288.60;0.00;331.42
02-N/09-03162;2009-03-30;291.20;0.00;334.42
02-N/09-03064;2009-03-26;179.08;0.00;205.66
02-N/09-02971;2009-03-24;500.10;0.00;574.32
02-N/09-02802;2009-03-18;79.64;0.00;91.45
02-N/09-02740;2009-03-17;225.38;0.00;258.83
02-N/09-02681;2009-03-16;148.41;0.00;170.44
02-N/09-02314;2009-03-05;191.15;0.00;219.52
02-N/09-02230;2009-03-04;194.50;0.00;223.37
02-N/09-02164;2009-03-03;189.70;0.00;217.85
02-N/09-02090;2009-03-02;365.55;0.00;419.79
02-N/09-01852;2009-02-23;80.70;0.00;92.67
02-N/09-01721;2009-02-18;148.47;0.00;170.51
02-N/09-01579;2009-02-16;292.21;0.00;335.58
02-N/09-01394;2009-02-11;162.48;0.00;186.60
02-N/09-01333;2009-02-10;138.00;0.00;158.48
02-N/09-01266;2009-02-09;482.45;0.00;554.05
02-N/09-01136;2009-02-05;424.05;0.00;486.98
02-N/09-01040;2009-02-03;296.88;0.00;340.94
02-N/09-00978;2009-02-02;218.40;0.00;250.82
02-N/09-00930;2009-01-30;136.63;0.00;156.90
02-N/09-00864;2009-01-29;379.68;0.00;436.02
02-N/09-00819;2009-01-28;152.50;0.00;175.14
02-N/09-00710;2009-01-26;64.00;0.00;73.50
02-N/09-00638;2009-01-22;182.02;0.00;209.03
02-N/09-00552;2009-01-21;405.20;0.00;465.33
02-N/09-00513;2009-01-20;430.10;0.00;493.93
02-N/09-00378;2009-01-15;127.20;0.00;146.08
02-N/09-00348;2009-01-15;349.83;0.00;401.74
02-N/09-00185;2009-01-12;293.00;0.00;336.48
02-N/09-00107;2009-01-08;389.76;0.00;447.60
02-N/08-12476;2008-12-24;112.76;0.00;129.49
02-N/08-12323;2008-12-18;189.41;0.00;217.52
02-N/08-12202;2008-12-16;110.92;0.00;127.38
02-N/08-12146;2008-12-15;749.80;0.00;861.07
02-N/08-12029;2008-12-11;478.44;0.00;549.45
02-N/08-11879;2008-12-05;264.48;0.00;303.73
02-N/08-11868;2008-12-05;289.60;0.00;332.57
02-N/08-11783;2008-12-03;300.66;0.00;345.27
02-N/08-11645;2008-12-02;417.74;0.00;479.73
02-N/08-11639;2008-11-28;146.95;0.00;168.76
02-N/08-11535;2008-11-26;264.03;0.00;303.21
02-N/08-11509;2008-11-26;89.52;0.00;102.80
02-N/08-11397;2008-11-24;690.28;0.00;792.72
02-N/08-11133;2008-11-18;672.46;0.00;772.26
02-N/08-11039;2008-11-14;107.96;0.00;123.98
02-N/08-10990;2008-11-13;236.19;0.00;271.24
02-N/08-10943;2008-11-12;62.12;0.00;71.34
02-N/08-10881;2008-11-11;379.20;0.00;435.48
02-N/08-10797;2008-11-10;487.28;0.00;559.60
02-N/08-10750;2008-11-07;412.19;0.00;473.36
02-N/08-10504;2008-11-03;281.09;0.00;322.80
02-N/08-10433;2008-10-30;266.24;0.00;305.75
02-N/08-10297;2008-10-28;411.69;0.00;472.78
02-N/08-10197;2008-10-27;-147.77;0.00;-171.41
02-N/08-10172;2008-10-24;388.45;0.00;446.10
02-N/08-09985;2008-10-21;215.90;0.00;247.94
02-N/08-09892;2008-10-16;118.78;0.00;136.40
02-N/08-09822;2008-10-15;75.60;0.00;86.81
02-N/08-09783;2008-10-15;168.45;0.00;193.45
02-N/08-09772;2008-10-14;155.72;0.00;178.83
02-N/08-09678;2008-10-10;210.16;0.00;241.35
02-N/08-09658;2008-10-09;139.74;0.00;160.47
02-N/08-09602;2008-10-08;101.35;0.00;116.39
02-N/08-09461;2008-10-06;265.56;0.00;304.96
02-N/08-09424;2008-10-03;82.90;0.00;95.20
02-N/08-09348;2008-10-02;641.37;0.00;736.55
02-N/08-09320;2008-10-01;216.49;0.00;248.62
02-N/08-09221;2008-09-30;183.60;0.00;210.84
02-N/08-09041;2008-09-24;375.33;0.00;431.03
02-N/08-09018;2008-09-23;111.90;0.00;128.50
02-N/08-08790;2008-09-18;-22.54;0.00;-26.15
02-N/08-08752;2008-09-17;154.75;0.00;177.71
02-N/08-08637;2008-09-12;181.95;0.00;208.95
02-N/08-08544;2008-09-11;133.91;0.00;153.78
02-N/08-08509;2008-09-10;257.50;0.00;295.72
02-N/08-08462;2008-09-09;230.75;0.00;264.99
02-N/08-08426;2008-09-08;47.71;0.00;54.79
02-N/08-08356;2008-09-04;186.77;0.00;214.48
02-N/08-08213;2008-08-29;47.58;0.00;54.64
02-N/08-08115;2008-08-27;490.58;0.00;563.38
02-N/08-08075;2008-08-25;179.09;0.00;205.67
02-N/08-07874;2008-08-13;252.45;0.00;289.92
02-N/08-07799;2008-08-08;26.72;0.00;30.68
02-N/08-07682;2008-08-04;45.60;0.00;52.36
02-N/08-07548;2008-07-29;769.18;0.00;883.33
02-N/08-07510;2008-07-28;126.20;0.00;144.93
02-N/08-07448;2008-07-24;162.63;0.00;186.76
02-N/08-07431;2008-07-24;159.10;0.00;182.71
02-N/08-07312;2008-07-21;200.08;0.00;229.77
02-N/08-07267;2008-07-18;239.22;0.00;274.72
02-N/08-07224;2008-07-17;164.76;0.00;189.21
02-N/08-07190;2008-07-16;115.80;0.00;132.98
02-N/08-06983;2008-07-10;191.59;0.00;220.02
02-N/08-06874;2008-07-08;143.31;0.00;164.58
02-N/08-06830;2008-07-07;74.62;0.00;85.69
02-N/08-06688;2008-07-01;168.12;0.00;193.07
02-N/08-06619;2008-06-30;371.47;0.00;426.60
02-N/08-06440;2008-06-25;249.84;0.00;286.91
02-N/08-06366;2008-06-20;456.97;0.00;524.78
02-N/08-06251;2008-06-18;256.86;0.00;294.98
02-N/08-06211;2008-06-17;128.54;0.00;147.61
02-N/08-05776;2008-06-03;852.28;0.00;978.76
02-N/08-05723;2008-06-02;478.57;0.00;549.58
02-N/08-05664;2008-05-30;120.70;0.00;140.01
02-N/08-05576;2008-05-28;88.00;0.00;102.08
02-N/08-05433;2008-05-26;129.55;0.00;150.28
02-N/08-05320;2008-05-21;367.40;0.00;417.66
02-N/08-05198;2008-05-19;61.32;0.00;71.13
02-N/08-05132;2008-05-16;180.95;0.00;203.60
02-N/08-05016;2008-05-14;292.00;0.00;331.95
02-N/08-04923;2008-05-13;69.03;0.00;77.67
02-N/08-04867;2008-05-09;254.73;0.00;289.58
02-N/08-04782;2008-05-08;-52.92;0.00;-61.39
02-N/08-04781;2008-05-08;312.84;0.00;355.63
02-N/08-04643;2008-05-06;0.00;0.00;0.00
02-N/08-04629;2008-05-06;255.25;0.00;290.17
02-N/08-04407;2008-04-28;257.15;0.00;292.33
02-N/08-04337;2008-04-24;395.00;0.00;449.04
02-N/08-04314;2008-04-23;80.80;0.00;93.73
02-N/08-04185;2008-04-21;46.00;0.00;53.36
02-N/08-04088;2008-04-17;243.30;0.00;276.58
02-N/08-03931;2008-04-14;297.00;0.00;337.63
02-N/08-03871;2008-04-11;219.00;0.00;248.96
02-N/08-03758;2008-04-09;359.25;0.00;404.23
02-N/08-03615;2008-04-07;63.10;0.00;73.20
02-N/08-03562;2008-04-04;96.50;0.00;111.94
02-N/08-03488;2008-04-03;236.00;0.00;268.28
02-N/08-03433;2008-04-02;79.60;0.00;92.34
02-N/08-03379;2008-04-01;109.00;0.00;126.44
02-N/08-03134;2008-03-26;467.20;0.00;531.12
02-N/08-02972;2008-03-18;364.40;0.00;414.25
02-N/08-02940;2008-03-17;154.85;0.00;174.23
02-N/08-02820;2008-03-12;432.50;0.00;491.67
02-N/08-02727;2008-03-11;605.30;0.00;681.08
02-N/08-02653;2008-03-07;82.00;0.00;95.12
02-N/08-02524;2008-03-05;488.00;0.00;554.76
02-N/08-02463;2008-03-04;271.80;0.00;308.98
02-N/08-02413;2008-03-03;123.50;0.00;140.39
02-N/08-02206;2008-02-26;1005.74;0.00;1131.66
02-N/08-02006;2008-02-21;190.91;0.00;217.02
02-N/08-01911;2008-02-19;544.00;0.00;612.11
02-N/08-01742;2008-02-14;349.80;0.00;397.65
02-N/08-01683;2008-02-13;65.15;0.00;74.07
02-N/08-01465;2008-02-08;245.73;0.00;279.35
02-N/08-01370;2008-02-07;75.26;0.00;87.30
02-N/08-01260;2008-02-06;437.29;0.00;497.11
02-N/08-01003;2008-01-29;111.20;0.00;128.99
02-N/08-00794;2008-01-23;1354.30;0.00;1523.86
02-N/08-00672;2008-01-21;1004.90;0.00;1130.71
02-N/08-00613;2008-01-18;123.50;0.00;143.26
02-N/08-00483;2008-01-16;133.70;0.00;155.09
02-N/08-00419;2008-01-15;508.00;0.00;571.60
02-N/08-00368;2008-01-14;80.70;0.00;93.61
02-N/08-00325;2008-01-11;131.10;0.00;152.08
02-N/08-00276;2008-01-10;107.94;0.00;125.21
02-N/08-00129;2008-01-07;248.50;0.00;282.49
02-N/08-00075;2008-01-03;100.00;0.00;116.00
02-N/07-03780;2007-12-27;160.60;0.00;182.57
02-N/07-03684;2007-12-21;212.65;0.00;241.74
02-N/07-03541;2007-12-19;-216.00;0.00;-243.04
02-N/07-03481;2007-12-17;0.00;0.00;0.00
02-N/07-03475;2007-12-17;44.60;0.00;50.70
02-N/07-03436;2007-12-17;-44.00;0.00;-50.02
02-N/07-03348;2007-12-12;185.50;0.00;210.88
02-N/07-03294;2007-12-11;353.40;0.00;401.74
02-N/07-03246;2007-12-10;69.40;0.00;78.89
02-N/07-03190;2007-12-07;395.80;0.00;449.94
02-N/07-03038;2007-12-03;804.13;0.00;904.81
02-N/07-02890;2007-11-27;204.58;0.00;232.57
02-N/07-02761;2007-11-23;197.76;0.00;224.81
02-N/07-02656;2007-11-21;27.50;0.00;31.90
02-N/07-02577;2007-11-20;30.30;0.00;34.44
02-N/07-02424;2007-11-16;426.50;0.00;484.85
02-N/07-02414;2007-11-15;0.00;0.00;0.00
02-N/07-02348;2007-11-14;314.60;0.00;357.64
02-N/07-02248;2007-11-13;161.80;0.00;187.69
02-N/07-02238;2007-11-12;526.40;0.00;592.31
02-N/07-02099;2007-11-07;322.75;0.00;366.91
02-N/07-02045;2007-11-06;76.20;0.00;88.39
02-N/07-01941;2007-10-31;121.50;0.00;140.94
02-N/07-01931;2007-10-30;407.10;0.00;462.79
02-N/07-01794;2007-10-25;373.35;0.00;424.42
02-N/07-01699;2007-10-23;487.05;0.00;564.98
02-N/07-01536;2007-10-18;169.50;0.00;196.62
02-N/07-01458;2007-10-16;168.00;0.00;190.98
02-N/07-01407;2007-10-15;64.50;0.00;73.32
02-N/07-01367;2007-10-11;55.00;0.00;63.80
02-N/07-01270;2007-10-09;513.94;0.00;578.28
02-N/07-01248;2007-10-09;-371.06;0.00;-421.82
02-N/07-01025;2007-10-01;467.28;0.00;531.20
02-N/07-00974;2007-09-28;318.30;0.00;361.84
02-N/07-00904;2007-09-26;200.00;0.00;227.36
02-N/07-00711;2007-09-19;155.90;0.00;180.84
02-N/07-00583;2007-09-14;62.90;0.00;72.96
02-N/07-00519;2007-09-12;106.21;0.00;123.20
02-N/07-00371;2007-09-05;231.00;0.00;262.60
02-N/07-00283;2007-08-31;142.80;0.00;162.33
02-N/07-00204;2007-08-28;369.72;0.00;420.30
