Serie, ejercicio y nº factura;Fecha;Base general;Beneficio;Total factura
03-N/17-03851;2017-11-20;62.85;12.87;75.29
03-N/17-03804;2017-11-16;119.20;39.04;142.79
03-N/17-03555;2017-10-24;199.35;71.44;238.81
03-N/17-03442;2017-10-17;128.80;42.07;154.29
03-N/17-03342;2017-10-09;190.72;60.33;228.46
03-N/17-03138;2017-09-21;-116.74;-62.28;-141.26
03-N/17-02977;2017-09-07;117.92;62.28;141.26
03-N/17-02954;2017-09-06;122.22;39.48;146.41
03-N/17-02716;2017-08-07;8.95;7.35;10.72
03-N/17-02673;2017-08-01;119.20;38.14;142.79
03-N/17-02357;2017-07-04;41.50;22.19;49.72
03-N/17-02164;2017-06-19;17.50;11.03;20.97
03-N/17-02142;2017-06-19;131.12;40.62;157.07
03-N/17-02068;2017-06-13;24.60;14.16;29.46
03-N/17-01915;2017-05-31;121.40;39.11;145.43
03-N/17-01860;2017-05-29;11.62;8.86;13.92
03-N/17-01824;2017-05-25;17.28;11.67;20.70
03-N/17-01774;2017-05-22;48.40;29.22;57.98
03-N/17-01733;2017-05-18;40.84;24.11;48.92
03-N/17-01610;2017-05-09;141.74;51.21;169.79
03-N/17-01505;2017-04-27;83.80;30.22;100.38
03-N/17-00856;2017-03-07;221.44;69.42;265.27
03-N/17-00480;2017-02-09;208.77;70.50;250.08
03-N/17-00187;2017-01-18;131.26;42.55;157.24
03-N/17-00160;2017-01-17;51.00;29.13;61.09
03-N/16-04362;2016-12-28;44.88;21.98;53.76
03-N/16-03892;2016-11-18;15.75;11.24;18.86
03-N/16-03861;2016-11-16;326.87;99.27;391.56
03-N/16-03812;2016-11-14;58.56;38.17;70.14
03-N/16-03760;2016-11-09;176.54;61.43;211.47
03-N/16-03554;2016-10-25;76.54;35.50;91.68
03-N/16-03477;2016-10-19;50.08;27.82;59.99
03-N/16-03353;2016-10-06;183.00;61.63;219.22
03-N/16-03316;2016-10-04;40.50;19.10;48.52
03-N/16-03258;2016-09-28;58.56;38.17;70.14
03-N/16-03236;2016-09-27;17.50;10.33;20.97
03-N/16-03146;2016-09-21;50.08;27.82;59.99
03-N/16-02981;2016-09-09;54.00;28.26;64.69
03-N/16-02956;2016-09-08;215.04;52.17;257.60
03-N/16-02643;2016-07-29;23.64;14.75;28.31
03-N/16-02565;2016-07-25;-29.70;-29.70;-35.94
03-N/16-02535;2016-07-21;330.94;146.91;396.43
03-N/16-02227;2016-06-28;26.25;13.88;31.45
03-N/16-02086;2016-06-15;169.11;53.91;202.58
03-N/16-02020;2016-06-09;30.00;21.16;35.94
03-N/16-01864;2016-05-27;15.00;10.60;17.97
03-N/16-01470;2016-04-26;27.60;17.10;33.06
03-N/16-01415;2016-04-20;16.64;12.06;19.93
03-N/16-01355;2016-04-15;210.06;67.27;251.63
03-N/16-00778;2016-02-29;95.60;49.35;114.51
03-N/16-00711;2016-02-24;209.30;61.04;250.72
03-N/16-00597;2016-02-17;30.60;18.65;36.65
03-N/16-00536;2016-02-12;118.42;67.02;143.29
03-N/16-00417;2016-02-03;182.40;46.85;218.50
03-N/16-00208;2016-01-20;236.16;65.24;282.90
03-N/15-05286;2015-12-18;287.63;82.37;344.55
03-N/15-05252;2015-12-17;64.72;27.80;77.52
03-N/15-05251;2015-12-17;31.20;19.25;37.38
03-N/15-05151;2015-12-11;0.00;0.00;0.00
03-N/15-05150;2015-12-11;3.00;2.97;3.59
03-N/15-04825;2015-11-18;182.40;45.10;218.50
03-N/15-04670;2015-11-06;-67.72;-25.74;-81.94
03-N/15-04469;2015-10-23;235.85;71.92;282.52
03-N/15-04412;2015-10-21;113.46;35.40;135.92
03-N/15-04373;2015-10-19;31.50;16.95;37.74
03-N/15-04341;2015-10-16;58.26;18.58;69.79
03-N/15-04268;2015-10-13;78.54;45.11;94.08
03-N/15-04265;2015-10-09;32.25;6.44;38.64
03-N/15-04254;2015-10-08;178.56;43.44;213.89
03-N/15-04123;2015-10-01;79.50;35.20;95.24
03-N/15-04066;2015-09-28;58.23;18.90;69.76
03-N/15-03901;2015-09-17;55.23;16.29;66.16
03-N/15-03900;2015-09-17;210.60;80.51;252.27
03-N/15-03876;2015-09-16;65.00;47.20;77.86
02-N/15-00025;2015-09-16;-54.35;-3.16;-65.76
03-N/15-03828;2015-09-14;95.02;49.57;113.82
03-N/15-03770;2015-09-09;10.75;8.71;12.87
03-N/15-03740;2015-09-08;178.56;43.79;213.89
03-N/15-03739;2015-09-08;-216.57;-83.59;-262.05
03-N/15-03721;2015-09-04;218.76;83.59;262.05
03-N/15-03680;2015-09-03;19.72;12.04;23.62
03-N/15-03346;2015-08-03;29.80;21.38;35.70
03-N/15-03248;2015-07-27;86.88;34.23;104.07
03-N/15-02946;2015-07-07;104.60;63.74;125.30
03-N/15-02864;2015-07-01;271.82;97.93;325.61
03-N/15-02792;2015-06-25;28.60;15.22;34.26
03-N/15-02766;2015-06-25;28.48;21.66;34.12
03-N/15-02676;2015-06-17;238.28;95.46;285.44
03-N/15-02635;2015-06-16;-110.09;-60.09;-133.21
03-N/15-02631;2015-06-16;-163.80;-81.88;-196.21
